Hospital,Patient's Review,Class
Clove dental,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Apollo hospital,"Had a bad experience in this hospital for my Mom. Iâ€™m writing this after my Mom passed away 15 days back.She was admitted in ICU and she suffered two cardiac arrests because of carelessness by the nurses , staff who were deployed in the hospital.Poor..",0
Kumaran hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Supreme speciality hospital,"They only look only for money and never respond back on refund.Doctor always look at patience for getting admitted to get more more money, they donâ€™t even give few minutes to get a second opinion. ..",0
Prashanth multispeciality hospital,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Sri Ramachandra hospital,"Definitely money minded hospital. They wont let you know the actual problem of the patient particulary for inpatients. Keep on injecting drips . Room rent are very high.get swallowed. Whatever tests like blood, urine and scan tests are there in the w..",0
Kumaran hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Prashanth multispeciality hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Prashanth multispeciality hospital,Itâ€™s a worst hospital.dont go there.fully money minded.waiting period minimum 7 hours.dont waste time and money. ..,0
Ayesha hospital,As expensive as other multiple speciality hospitals with very very poor facilities.There is one person calling himself as doctor who is a manager visits the patients for no reasons and charges Rs.1000 per visit.Atrocious place.please donâ€™t go here.,0
Frontier lifeline hospital,I lost my sister who got admitted here late night for chest pain. The young duty doctor didnâ€™t seem competent enough. We could see only a nurse assisting him.. Feel that it was our mistake to have trusted this hospital for an emergency situation. .. ..,0
Clove dental,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Apollo hospital,"Had a bad experience in this hospital for my Mom. Iâ€™m writing this after my Mom passed away 15 days back.She was admitted in ICU and she suffered two cardiac arrests because of carelessness by the nurses , staff who were deployed in the hospital.Poor..",0
Kumaran hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Sri Ramachandra hospital,My mom diagnosed with cancer to confirm for further procedures they Made her fast for 6 hours and said no time today will do it later just to extend the days to be admitted @ hospital. When we asked about it they said you are not the only one we have..,0
Frontier lifeline hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
KKCT hospital,Itâ€™s a worst hospital.dont go there.fully money minded.waiting period minimum 7 hours.dont waste time and money. ..,0
Supreme speciality hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Supreme speciality hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Apollo hospital,Personal experience. Worst treatment. Junior and sadist dr.Karthik from nephrology department ?(+91-996205xxxx?) is behaving like a rowdy and playing with patientâ€™s health and experimenting with patient. He will purposely complicate your simple probl..,0
Frontier lifeline hospital,I lost my sister who got admitted here late night for chest pain. The young duty doctor didnâ€™t seem competent enough. We could see only a nurse assisting him.. Feel that it was our mistake to have trusted this hospital for an emergency situation. .. ..,0
Apollo hospital,"Had a bad experience in this hospital for my Mom. Iâ€™m writing this after my Mom passed away 15 days back.She was admitted in ICU and she suffered two cardiac arrests because of carelessness by the nurses , staff who were deployed in the hospital.Poor..",0
Sri Ramachandra hospital,"They only look only for money and never respond back on refund.Doctor always look at patience for getting admitted to get more more money, they donâ€™t even give few minutes to get a second opinion. ..",0
Prashanth multispeciality hospital,"Wife got admitted accidentally as it was near her office not really emergency, they made quick bucks not to be mentioned anything worth many clinics offer better service ..",0
Ayesha hospital,As expensive as other multiple speciality hospitals with very very poor facilities.There is one person calling himself as doctor who is a manager visits the patients for no reasons and charges Rs.1000 per visit.Atrocious place.please donâ€™t go here.,0
Ayesha hospital,As expensive as other multiple speciality hospitals with very very poor facilities.There is one person calling himself as doctor who is a manager visits the patients for no reasons and charges Rs.1000 per visit.Atrocious place.please donâ€™t go here.,0
Clove dental,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Frontier lifeline hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
Kumaran hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
KKCT hospital,"Had a bad experience in this hospital for my Mom. Iâ€™m writing this after my Mom passed away 15 days back.She was admitted in ICU and she suffered two cardiac arrests because of carelessness by the nurses , staff who were deployed in the hospital.Poor..",0
Ayesha hospital,My mom diagnosed with cancer to confirm for further procedures they Made her fast for 6 hours and said no time today will do it later just to extend the days to be admitted @ hospital. When we asked about it they said you are not the only one we have..,0
Supreme speciality hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
Clove dental,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Supreme speciality hospital,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Sri Ramachandra hospital,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Apollo hospital,"Had a bad experience in this hospital for my Mom. Iâ€™m writing this after my Mom passed away 15 days back.She was admitted in ICU and she suffered two cardiac arrests because of carelessness by the nurses , staff who were deployed in the hospital.Poor..",0
Apollo hospital,Personal experience. Worst treatment. Junior and sadist dr.Karthik from nephrology department ?(+91-996205xxxx?) is behaving like a rowdy and playing with patientâ€™s health and experimenting with patient. He will purposely complicate your simple probl..,0
Kumaran hospital,"They only look only for money and never respond back on refund.Doctor always look at patience for getting admitted to get more more money, they donâ€™t even give few minutes to get a second opinion. ..",0
Xcellent care hospital,"Definitely money minded hospital. They wont let you know the actual problem of the patient particulary for inpatients. Keep on injecting drips . Room rent are very high.get swallowed. Whatever tests like blood, urine and scan tests are there in the w..",0
Frontier lifeline hospital,I lost my sister who got admitted here late night for chest pain. The young duty doctor didnâ€™t seem competent enough. We could see only a nurse assisting him.. Feel that it was our mistake to have trusted this hospital for an emergency situation. .. ..,0
Supreme speciality hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Apollo hospital,"Had a bad experience in this hospital for my Mom. Iâ€™m writing this after my Mom passed away 15 days back.She was admitted in ICU and she suffered two cardiac arrests because of carelessness by the nurses , staff who were deployed in the hospital.Poor..",0
Sri Ramachandra hospital,"They only look only for money and never respond back on refund.Doctor always look at patience for getting admitted to get more more money, they donâ€™t even give few minutes to get a second opinion. ..",0
Xcellent care hospital,"Definitely money minded hospital. They wont let you know the actual problem of the patient particulary for inpatients. Keep on injecting drips . Room rent are very high.get swallowed. Whatever tests like blood, urine and scan tests are there in the w..",0
Apollo hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Xcellent care hospital,"Definitely money minded hospital. They wont let you know the actual problem of the patient particulary for inpatients. Keep on injecting drips . Room rent are very high.get swallowed. Whatever tests like blood, urine and scan tests are there in the w..",0
Frontier lifeline hospital,I lost my sister who got admitted here late night for chest pain. The young duty doctor didnâ€™t seem competent enough. We could see only a nurse assisting him.. Feel that it was our mistake to have trusted this hospital for an emergency situation. .. ..,0
KKCT hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
KKCT hospital,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Kumaran hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Supreme speciality hospital,"Wife got admitted accidentally as it was near her office not really emergency, they made quick bucks not to be mentioned anything worth many clinics offer better service ..",0
Ayesha hospital,As expensive as other multiple speciality hospitals with very very poor facilities.There is one person calling himself as doctor who is a manager visits the patients for no reasons and charges Rs.1000 per visit.Atrocious place.please donâ€™t go here.,0
Kumaran hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
KKCT hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
Kumaran hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Frontier lifeline hospital,I lost my sister who got admitted here late night for chest pain. The young duty doctor didnâ€™t seem competent enough. We could see only a nurse assisting him.. Feel that it was our mistake to have trusted this hospital for an emergency situation. .. ..,0
Xcellent care hospital,"Definitely money minded hospital. They wont let you know the actual problem of the patient particulary for inpatients. Keep on injecting drips . Room rent are very high.get swallowed. Whatever tests like blood, urine and scan tests are there in the w..",0
Apollo hospital,Itâ€™s a worst hospital.dont go there.fully money minded.waiting period minimum 7 hours.dont waste time and money. ..,0
Apollo hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Clove dental,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Sri Ramachandra hospital,"Definitely money minded hospital. They wont let you know the actual problem of the patient particulary for inpatients. Keep on injecting drips . Room rent are very high.get swallowed. Whatever tests like blood, urine and scan tests are there in the w..",0
Ayesha hospital,As expensive as other multiple speciality hospitals with very very poor facilities.There is one person calling himself as doctor who is a manager visits the patients for no reasons and charges Rs.1000 per visit.Atrocious place.please donâ€™t go here.,0
Clove dental,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Supreme speciality hospital,As expensive as other multiple speciality hospitals with very very poor facilities.There is one person calling himself as doctor who is a manager visits the patients for no reasons and charges Rs.1000 per visit.Atrocious place.please donâ€™t go here.,0
Kumaran hospital,I lost my sister who got admitted here late night for chest pain. The young duty doctor didnâ€™t seem competent enough. We could see only a nurse assisting him.. Feel that it was our mistake to have trusted this hospital for an emergency situation. .. ..,0
Ayesha hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Supreme speciality hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Apollo hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Xcellent care hospital,"Definitely money minded hospital. They wont let you know the actual problem of the patient particulary for inpatients. Keep on injecting drips . Room rent are very high.get swallowed. Whatever tests like blood, urine and scan tests are there in the w..",0
KKCT hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
Supreme speciality hospital,"Wife got admitted accidentally as it was near her office not really emergency, they made quick bucks not to be mentioned anything worth many clinics offer better service ..",0
Xcellent care hospital,"They only look only for money and never respond back on refund.Doctor always look at patience for getting admitted to get more more money, they donâ€™t even give few minutes to get a second opinion. ..",0
Prashanth multispeciality hospital,Its a worst hospital.dont go there.fully money minded.waiting period minimum 7 hours.dont waste time and money. ..,0
